Variable	Bias	SE	SEE	CP
Intercept	0.00559211742315369	0.12691999323672	0.129447496340556	0.947
Time	-0.00291012254948492	0.0967747645098029	0.0942884283766203	0.943
Xe	0.00195052099235976	0.202676556340055	0.200463960259149	0.951
Xe.i	0.00173523229816402	0.159620344969513	0.16214343107473	0.952
Z	-0.000794658185576669	0.0780995249376227	0.0758719092497248	0.939
Gamma	-0.0107031053066518	0.123338857355741	0.123190470521526	0.949
