Variable	Bias	SE	SEE	CP
Intercept	-0.00956197557574745	0.253855429550244	0.248814352349851	0.949
Time	-0.00388568859104915	0.129205857693513	0.126852690778727	0.942
Xe	0.00567668044127179	0.369235524937713	0.368494284280919	0.944
Xe.i	0.00496204862035016	0.216559479999295	0.217901878936443	0.959
Z	0.00956110371803831	0.179739347710376	0.179732310516322	0.958
Gamma	-0.00286129393767842	0.231323881080692	0.229088113324881	0.948
