Variable	Bias	SE	SEE	CP
Intercept	0.00377607269089419	0.133130838389293	0.137689062326996	0.958
Time	-0.00198546513195846	0.0929613959892824	0.0918620340681305	0.943
Xe	-0.00153609141191904	0.204749540886823	0.201169367075139	0.942
Xe.i	0.00261565114034767	0.15428860567478	0.158033829867154	0.956
Z	0.000219143688615864	0.0798044224306826	0.0795768085853602	0.946
Gamma	-0.00888181039096581	0.125382312935679	0.127410305340175	0.958
