		Fixed design					Adaptive design for $\beta_e$						Adaptive design for $(\beta_{e}, \beta_{et}$				
Method	Parameter	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP	RE
ACML	$\beta_0$	0.6707724	0.9389051	NaN	NA		0.6625328	0.916629	NaN	NA	1.049195		0.6815244	0.9381306	NaN	NA	1.001652
	$\beta_t$	0.5568801	0.1099588	NaN	NA		0.5654093	0.1084736	NaN	NA	1.027572		0.5535811	0.1165528	NaN	NA	0.8900502
	$\beta_e$	-0.3048969	0.1626424	NaN	NA		-0.3063624	0.1288155	NaN	NA	1.594158		-0.3054087	0.1481524	NaN	NA	1.205174
	$\beta_{et}$	0.2460451	0.4176681	NaN	NA		0.2357925	0.4071567	NaN	NA	1.0523		0.2302846	0.4081275	NaN	NA	1.0473
	$\beta_c$	-0.5253273	0.4389806	NaN	NA		-0.5146325	0.4500103	NaN	NA	0.9515812		-0.5216175	0.4446423	NaN	NA	0.9746959
	$\gamma$	-1.668093	0.3101378	NaN	NA		-1.682431	0.3167758	NaN	NA	0.9585295		-1.664331	0.3089984	NaN	NA	1.007389
