Variable	Bias	SE	SEE	CP
Intercept	0.00597953292066555	0.126278100566274	0.127133467280889	0.957
Time	-0.00297988380039715	0.0419711752836321	0.04143887366957	0.952
Xe	-0.0045549217519941	0.198048464575549	0.199587854057414	0.954
Xe.i	0.00267029440153765	0.0679889117083326	0.0667429468416894	0.943
Z	0.000409062941893579	0.0735696668960912	0.0745191127703611	0.957
Gamma	-0.00850065767727792	0.121312238419129	0.123996510565582	0.958
