Variable	Bias	SE	SEE	CP
Intercept	0.0071132067389017	0.131851785345397	0.132304087243103	0.948
Time	-0.00250763776371266	0.0410312479438238	0.0404601151726729	0.954
Xe	-0.00553299539219917	0.201268207052915	0.199479337529093	0.946
Xe.i	0.00235057389184251	0.066756363269831	0.0651163416611423	0.935
Z	-0.000637887151601624	0.0745017762538969	0.0760619823440521	0.955
Gamma	-0.00948360920239311	0.123679620257017	0.125840030577306	0.964
