Variable	Bias	SE	SEE	CP
Intercept	-0.0119148229760209	0.154497202480427	0.159149455336524	0.956
Time	-0.000418608058247838	0.031962605082219	0.0320753090710354	0.951
Xe	0.00972514601034952	0.213962137408029	0.213303152731927	0.955
Xe.i	-0.00158872389576747	0.0520905030519714	0.0512474800690337	0.945
Z	0.00368657522594429	0.106970839395244	0.1056128414773	0.949
Gamma	0.0089187962012991	0.138149342134072	0.138162584886187	0.956
