	ACML			
Method	Parameter	Bias	SE	SEE	CP
$\beta_0$	-0.00559593	0.1596155	0.1586602	0.954
$\beta_t$	0.0002875361	0.031979	0.03203011	0.946
$\beta_e$	0.0009930091	0.208313	0.2127534	0.953
$\beta_{et}$	-0.001563518	0.05169025	0.05120922	0.949
$\beta_c$	0.006076578	0.1090651	0.1052968	0.944
$\gamma$	0.003392804	0.1354227	0.1378072	0.951
