		Fixed design					Adaptive design for $\beta_e$						Adaptive design for $(\beta_{e}, \beta_{et}$				
Method	Parameter	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP	RE
ACML	$\beta_0$	0.006970678	0.1246133	0.1245369	0.952		0.01024062	0.132268	0.1324922	0.95	0.8876036		0.004524952	0.1506041	0.1475119	0.945	0.6846283
	$\beta_t$	-0.002788428	0.0389263	0.04020845	0.957		-0.001365357	0.03929685	0.04047003	0.962	0.9812301		-0.001525805	0.03906143	0.03951047	0.957	0.9930934
	$\beta_e$	0.001336875	0.2012497	0.1999339	0.954		0.002605196	0.19681	0.1991688	0.957	1.045625		0.004902665	0.198256	0.2002395	0.943	1.030428
	$\beta_{et}$	0.0001266933	0.06513992	0.0647493	0.947		-0.0005443325	0.06418659	0.06522686	0.953	1.029926		-0.001091242	0.06280671	0.06348427	0.953	1.075678
	$\beta_c$	-0.001602348	0.07517534	0.07540173	0.937		-0.0004852277	0.0741922	0.07616627	0.957	1.026678		0.0001288227	0.07748497	0.08097886	0.96	0.9412738
	$\gamma$	-0.004729369	0.1215371	0.1230303	0.955		-0.01489429	0.1249605	0.1258149	0.952	0.9459591		-0.009368516	0.1355384	0.1320668	0.943	0.8040685
